World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009.18,Nurse_midwife_per_1000_2009.18,Specialist_surgical_per_1000_2008.18,Completeness_of_birth_reg_2009.18,Completeness_of_death_reg_2008.16,alpha_2,alpha_3,numeric,latitude,longitude
Afghanistan,10.2,5.1,77.4,57.2,162.8,17.5,0.3,0.3,0,42.3,-99,3,2,4,33,65
Albania,6.7,41.4,58,271.5,759.7,0.7,1.2,3.6,11.6,98.4,53,6,5,8,41,20
Algeria,6.6,67.7,30.9,260.4,998.2,0,1.8,2.2,12.1,100,-99,59,62,12,28,3
Andorra,10.4,49.1,41.7,3834.7,4978.7,-99,3.3,4,83.1,100,80,1,6,20,42.5,1.6
Angola,2.9,44.1,35.2,95.2,185.8,3.6,0.2,1.3,-99,25,-99,9,3,24,-12.5,18.5
Antigua and Barbuda,4.3,60.6,32.2,623.1,976.4,0,2.8,3.1,14,-99,79,4,14,28,17.05,-61.8
Argentina,7.5,74.4,15.8,955.2,1531,0.6,4,2.6,50.1,100,100,11,9,32,-34,-64
Armenia,9.9,16.5,80.6,358.8,876.9,1.7,2.9,5.6,86.7,99.3,76,7,10,51,40,45
Australia,9.3,68.3,18.9,5002.4,4529.9,0,3.6,12.7,45.1,100,100,14,15,36,-27,133
Austria,10.4,72.5,18.9,4688.3,5295.2,-99,5.1,8.2,109.9,100,100,13,16,40,47.3333,13.3333
Azerbaijan,6.9,20,78.9,268.2,1193.1,0.4,3.4,7,67.6,-99,-99,16,17,31,40.5,47.5
Bahamas. The,6.4,49.9,27.7,1835.2,1435.6,0.4,1.9,3.1,-99,-99,93,-99,-99,-99,-99,-99
Bahrain,4.9,61.4,28,1099.4,1866.3,0,0.9,2.5,14.4,-99,88,23,24,48,26,50.55
Bangladesh,2.4,18,71.9,34.2,90.6,7.6,0.5,0.3,2.9,20.2,-99,19,22,50,24,90
Barbados,7,45.9,45.2,1163.8,1323,1.7,2.5,6,17.2,99,100,18,32,52,13.1667,-59.5333
