eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,nkill
2.02E+11,2017,7,15,Australia,Australasia & Oceania,New South Wales,Sydney,-33.934491,151.179691,0
2.02E+11,2017,7,18,Papua New Guinea,Australasia & Oceania,New Ireland,Kavieng,-2.578117,150.808608,0
2.02E+11,2017,4,7,Australia,Australasia & Oceania,New South Wales,Queanbeyan,-35.349304,149.244385,1
2.02E+11,2017,7,18,Papua New Guinea,Australasia & Oceania,Morobe,Finschhafen,-6.598434,147.853302,0
2.02E+11,2017,7,18,Papua New Guinea,Australasia & Oceania,Morobe,Finschhafen,-6.598434,147.853302,0
2.02E+11,2017,7,18,Papua New Guinea,Australasia & Oceania,Morobe,Finschhafen,-6.598434,147.853302,0
2.02E+11,2017,7,18,Papua New Guinea,Australasia & Oceania,Morobe,Gagidu,-6.604156,147.852361,0
2.02E+11,2017,7,26,Papua New Guinea,Australasia & Oceania,Central,Port Moresby,-9.441944,147.218889,0
2.02E+11,2017,6,5,Australia,Australasia & Oceania,Victoria,Brighton,-37.906633,145.007628,2
2.02E+11,2017,12,21,Australia,Australasia & Oceania,Victoria,Melbourne,-37.8182,144.965,1
2.02E+11,2017,7,16,Papua New Guinea,Australasia & Oceania,Jiwaka,Sipil,-5.782101,144.642348,0
2.02E+11,2017,7,8,Papua New Guinea,Australasia & Oceania,Western Highlands,Koibuga,-6.066667,144.25,0
2.02E+11,2017,12,15,Indonesia,Southeast Asia,Papua,Unknown,-4.693395,139.364375,1
2.02E+11,2017,11,12,Indonesia,Southeast Asia,Papua,Mimika district,-4.457827,137.122554,0
2.02E+11,2017,11,15,Indonesia,Southeast Asia,Papua,Mimika district,-4.457827,137.122554,1
2.02E+11,2017,10,23,Indonesia,Southeast Asia,Papua,Tembagapura,-4.000079,137.113416,0
2.02E+11,2017,10,21,Indonesia,Southeast Asia,Papua,Tembagapura,-4.143584,137.090491,0
2.02E+11,2017,10,29,Indonesia,Southeast Asia,Papua,Tembagapura,-4.143584,137.090491,0
2.02E+11,2017,11,7,Indonesia,Southeast Asia,Papua,Tembagapura,-4.141596,137.09047,-99
2.02E+11,2017,11,5,Indonesia,Southeast Asia,Papua,Tembagapura,-4.333193,136.999945,0
2.02E+11,2017,11,14,Indonesia,Southeast Asia,Papua,Tembagapura,-4.333184,136.999194,0
2.02E+11,2017,11,7,Indonesia,Southeast Asia,Papua,Kimbely,-4.371137,136.962266,-99
2.02E+11,2017,4,21,Russia,Eastern Europe,Khabarovsk,Khabarovsk,48.502731,135.06626,3
