country,lat,lng,beds,population,year,source
CN,35,105,3.8,1344000000,2011,world-bank
IN,20,77,0.7,1250000000,2011,world-bank
US,38,-97,2.9,311556874,2011,world-bank
ID,-5,120,0.9,248452413,2012,world-bank
BR,-10,-55,2.3,199300000,2012,world-bank
PK,30,70,0.6,187281475,2012,world-bank
BD,24,90,0.6,149273778,2011,world-bank
RU,60,100,9.7,143049528,2006,world-bank
NG,10,8,0.5,135320422,2004,world-bank
JP,36,138,13.7,128047000,2009,world-bank
MX,23,-102,1.5,115695473,2011,world-bank
PH,13,122,1,95570047,2011,world-bank
ET,8,38,6.3,90139927,2011,world-bank
VN,16,106,2,87967651,2010,world-bank
EG,27,30,0.5,86422240,2012,world-bank
DE,51,9,8.2,80274983,2011,world-bank
IR,32,53,0.1,75539862,2012,world-bank
TR,39,35,2.5,73443863,2011,world-bank
TH,15,100,2.1,67195028,2010,world-bank
FR,46,2,6.4,65342780,2011,world-bank
GB,54,-2,2.9,63258810,2011,world-bank
IT,42.83,12.83,3.4,59379449,2011,world-bank
CD,0,25,0.8,56578037,2006,world-bank
KR,37,127.5,10.3,49307835,2009,world-bank
MM,22,98,0.6,49301050,2006,world-bank
ZA,-29,24,2.8,47880601,2005,world-bank
ES,40,-4,3.1,46742697,2011,world-bank
CO,4,-72,1.5,46076848,2012,world-bank
UA,49,32,9,45593300,2012,world-bank
TZ,-6,35,0.7,44346525,2010,world-bank
KE,1,38,1.4,42030676,2010,world-bank
AR,-34,-64,4.7,41733271,2012,world-bank
PL,52,20,6.5,38063255,2011,world-bank
SD,15,30,0.8,36193783,2012,world-bank
CA,60,-95,2.7,34004889,2010,world-bank
MA,32,-5,0.9,33241898,2012,world-bank
DZ,28,3,1.7,32692163,2004,world-bank
UG,1,32,0.5,32428167,2010,world-bank
IQ,33,44,1.3,31890011,2012,world-bank
AF,33,65,0.5,31161376,2012,world-bank
PE,-10,-76,1.5,29506788,2012,world-bank
SA,25,45,2.1,29155187,2012,world-bank
MY,2.5,112.5,1.9,29068159,2012,world-bank
VE,8,-66,0.9,28888369,2011,world-bank
UZ,41,64,4.4,28562400,2010,world-bank
NP,28,84,5,26066693,2006,world-bank
GH,8,-2,0.9,25387710,2011,world-bank
KP,40,127,13.2,24800612,2012,world-bank
YE,15,48,0.7,24473178,2012,world-bank
MZ,-18.25,35,0.7,24187487,2011,world-bank
AU,-27,133,3.9,22031750,2010,world-bank
MG,-20,47,0.2,21151640,2010,world-bank
SY,35,38,1.5,20442541,2012,world-bank
LK,7,81,3.6,20425000,2012,world-bank
CM,6,12,1.3,20341241,2010,world-bank
RO,46,25,6.1,20147528,2011,world-bank
AO,-12.5,18.5,0.8,19433602,2005,world-bank
CI,8,-5,0.4,18754916,2006,world-bank
CL,-30,-71,2.1,17233576,2011,world-bank
KZ,48,68,7.2,16792089,2012,world-bank
NL,52.5,5.75,4.7,16530388,2009,world-bank
BF,13,-2,0.4,15605217,2010,world-bank
EC,-2,-77.5,1.6,15243883,2011,world-bank
ML,17,-4,0.1,15049353,2010,world-bank
MW,-13.5,34,1.3,14962112,2011,world-bank
GT,15.5,-90.25,0.6,14948803,2011,world-bank
KH,13,105,0.7,14541423,2011,world-bank
NE,16,8,0.3,13624467,2005,world-bank
ZM,-15,30,2,13605984,2010,world-bank
ZW,-20,30,1.7,12894316,2011,world-bank
SN,14,-14,0.3,12004701,2008,world-bank
CU,21.5,-80,5.3,11257101,2012,world-bank
GR,39,22,4.8,11107017,2009,world-bank
BE,50.83,4,6.5,11106932,2012,world-bank
TN,34,9,2.1,10847002,2012,world-bank
PT,39.5,-8,3.4,10557560,2011,world-bank
CZ,49.75,15.5,6.8,10496088,2011,world-bank
GN,11,-10,0.3,10420471,2011,world-bank
BO,-17,-65,1.1,10377676,2012,world-bank
TD,15,19,0.4,10096633,2005,world-bank
HU,47,20,7.2,9971727,2011,world-bank
DO,19,-70.67,1.7,9813210,2011,world-bank
HT,19,-72.42,1.3,9495328,2007,world-bank
BY,53,28,11.3,9473172,2011,world-bank
SE,62,15,2.7,9449213,2011,world-bank
AZ,40.5,47.5,4.7,9295784,2012,world-bank
RW,-2,30,1.6,9273757,2007,world-bank
BJ,9.5,2.25,0.5,9199259,2010,world-bank
AE,24,54,1.1,9141596,2012,world-bank
BI,-3.5,30,1.9,8958406,2011,world-bank
HN,15,-86.5,0.7,8640691,2012,world-bank
AT,47.33,13.33,7.6,8391643,2011,world-bank
JO,31,36,1.8,8090872,2012,world-bank
