city,lat,lng,population
Tokyo,35.685,139.7514,35676000
Mexico City,19.4424,-99.131,19028000
Dhaka,23.7231,90.4086,12797394
Buenos Aires,-34.6025,-58.3975,12795000
Cairo,30.05,31.25,11893000
Beijing,39.9289,116.3883,11106000
Manila,14.6042,120.9822,11100000
Moscow,55.7522,37.6155,10452000
Paris,48.8667,2.3333,9904000
Seoul,37.5663,126.9997,9796000
Jakarta,-6.1744,106.8294,9125000
London,51.5,-0.1167,8567000
Lima,-12.048,-77.0501,8012000
Tehran,35.6719,51.4243,7873000
Kinshasa,-4.3297,15.315,7843000
Bogotá,4.5964,-74.0833,7772000
Taipei,25.0358,121.5683,6900273
Bangkok,13.75,100.5166,6704000
Santiago,-33.45,-70.667,5720000
Madrid,40.4,-3.6834,5567000
Washington,38.9047,-77.0163,5289420
Singapore,1.293,103.8558,5183700
Luanda,-8.8383,13.2344,5172900
Baghdad,33.3386,44.3939,5054000
Khartoum,15.5881,32.5342,4754000
Riyadh,24.6408,46.7727,4465000
Hanoi,21.0333,105.85,4378000
Rangoon,16.7834,96.1667,4088000
Abidjan,5.32,-4.04,3802000
Brasília,-15.7833,-47.9161,3716996
Ankara,39.9272,32.8644,3716000
Berlin,52.5218,13.4015,3406000
Algiers,36.7631,3.0506,3354000
Rome,41.896,12.4833,3339000
Pyongyang,39.0194,125.7547,3300000
Kabul,34.5167,69.1833,3277000
Athens,37.9833,23.7333,3242000
Cape Town,-33.92,18.435,3215000
Addis Ababa,9.0333,38.7,3100000
Nairobi,-1.2833,36.8167,3010000
Caracas,10.501,-66.917,2985000
Dar es Salaam,-6.8,39.2683,2930000
Lisbon,38.7227,-9.1449,2812000
Kyiv,50.4334,30.5166,2709000
Dakar,14.7158,-17.4731,2604000
Damascus,33.5,36.3,2466000
Tunis,36.8028,10.1797,2412500
Vienna,48.2,16.3666,2400000
Tripoli,32.8925,13.18,2189000
Tashkent,41.3117,69.2949,2184000
Havana,23.132,-82.3642,2174000
Santo Domingo,18.4701,-69.9001,2154000
Baku,40.3953,49.8622,2122300
Accra,5.55,-0.2167,2121000
Kuwait City,29.3697,47.9783,2063000
Sanaa,15.3547,44.2066,2008000
Port-au-Prince,18.541,-72.336,1998000
Bucharest,44.4334,26.0999,1942000
Asunción,-25.2964,-57.6415,1870000
Beirut,33.872,35.5097,1846000
Minsk,53.9,27.5666,1805000
Brussels,50.8333,4.3333,1743000
Warsaw,52.25,21,1707000
Rabat,34.0253,-6.8361,1705000
Quito,-0.215,-78.5001,1701000
Antananarivo,-18.9166,47.5166,1697000
Budapest,47.5,19.0833,1679000
Yaoundé,3.8667,11.5167,1611000
La Paz,-16.498,-68.15,1590000
Abuja,9.0833,7.5333,1576000
Harare,-17.8178,31.0447,1572000
Montevideo,-34.858,-56.1711,1513000
Bamako,12.65,-8,1494000
Conakry,9.5315,-13.6802,1494000
Phnom Penh,11.55,104.9166,1466000
Lomé,6.1319,1.2228,1452000
Doha,25.2866,51.533,1450000
Kuala Lumpur,3.1667,101.7,1448000
Maputo,-25.9553,32.5892,1446000
San Salvador,13.71,-89.203,1433000
Kampala,0.3167,32.5833,1420000
The Hague,52.08,4.27,1406000
Brazzaville,-4.2592,15.2847,1355000
Pretoria,-25.7069,28.2294,1338000
Lusaka,-15.4166,28.2833,1328000
San José,9.935,-84.0841,1284000
Panama City,8.968,-79.533,1281000
Stockholm,59.3508,18.0973,1264000
Sofia,42.6833,23.3167,1185000
Prague,50.0833,14.466,1162000
Ouagadougou,12.3703,-1.5247,1149000
Ottawa,45.4167,-75.7,1145000
Helsinki,60.1756,24.9341,1115000
Yerevan,40.1812,44.5136,1102000
Mogadishu,2.0667,45.3667,1100000
Tbilisi,41.725,44.7908,1100000
Belgrade,44.8186,20.468,1099000
Dushanbe,38.56,68.7739,1086244
Copenhagen,55.6786,12.5635,1085000
Amman,31.95,35.9333,1060000
Dublin,53.3331,-6.2489,1059000
Monrovia,6.3106,-10.8048,1041000
Amsterdam,52.35,4.9166,1031000
Jerusalem,31.7784,35.2066,1029300
Guatemala City,14.6211,-90.527,1024000
N’Djamena,12.1131,15.0491,989000
Tegucigalpa,14.102,-87.2175,946000
Kingston,17.9771,-76.7674,937700
Nay Pyi Taw,19.7666,96.1186,930000
Djibouti,11.595,43.148,923000
Managua,12.153,-86.2685,920000
Niamey,13.5167,2.1167,915000
Tirana,41.3275,19.8189,895350
Kathmandu,27.7167,85.3166,895000
Ulaanbaatar,47.9167,106.9166,885000
Kigali,-1.9536,30.0605,860000
Bishkek,42.8731,74.5852,837000
Oslo,59.9167,10.75,835000
Bangui,4.3666,18.5583,831925
Freetown,8.47,-13.2342,827000
Islamabad,33.7,73.1666,780000
Cotonou,6.4,2.52,762000
Vientiane,17.9667,102.6,754000
Riga,56.95,24.1,742572
Nouakchott,18.0864,-15.9753,742144
Muscat,23.6133,58.5933,734697
Ashgabat,37.95,58.3833,727700
Zagreb,45.8,16,722526
Sarajevo,43.85,18.383,696731
Chisinau,47.005,28.8577,688134
Lilongwe,-13.9833,33.7833,646750
Asmara,15.3333,38.9333,620802
Abu Dhabi,24.4667,54.3666,603492
Port Louis,-20.1666,57.5,595491
Libreville,0.3854,9.458,578156
Manama,26.2361,50.5831,563920
Vilnius,54.6834,25.3166,542366
Skopje,42,21.4335,494087
Bloemfontein,-29.12,26.2299,463064
Bratislava,48.15,17.117,423737
Bissau,11.865,-15.5984,403339
Tallinn,59.4339,24.728,394024
Wellington,-41.3,174.7833,393400
Valletta,35.8997,14.5147,368250
Maseru,-29.3167,27.4833,361324
Nur-Sultan,51.1811,71.4278,345604
Bujumbura,-3.3761,29.36,331700
Canberra,-35.283,149.129,327700
New Delhi,28.6,77.2,317797
Ljubljana,46.0553,14.515,314807
Porto-Novo,6.4833,2.6166,3.00E+05
Bandar Seri Begawan,4.8833,114.9333,296500
Port of Spain,10.652,-61.517,294934
Port Moresby,-9.4647,147.1925,283733
Bern,46.9167,7.467,275329
Windhoek,-22.57,17.0835,268132
Georgetown,6.802,-58.167,264350
Paramaribo,5.835,-55.167,254169
Dili,-8.5594,125.5795,234331
Nassau,25.0834,-77.35,227940
Sucre,-19.041,-65.2595,224838
Nicosia,35.1667,33.3666,224300
Dodoma,-6.1833,35.75,218269
Colombo,6.932,79.8578,217000
Gaborone,-24.6463,25.9119,208411
Yamoussoukro,6.8184,-5.2755,206499
Bridgetown,13.102,-59.6165,191152
Suva,-18.133,178.4417,175399
Reykjavík,64.15,-21.95,166212
Malabo,3.75,8.7833,155963
Willemstad,12.2004,-69.02,146813
Podgorica,42.466,19.2663,145850
Moroni,-11.7042,43.2402,128698
Sri Jayewardenepura Kotte,6.9,79.95,115826
Praia,14.9167,-23.5167,113364
Male,4.1667,73.4999,112927
Juba,4.83,31.58,111975
Luxembourg,49.6117,6.13,107260
Thimphu,27.473,89.639,98676
Mbabane,-26.3167,31.1333,90138
São Tomé,0.3334,6.7333,88219
Honiara,-9.438,159.9498,76328
Oranjestad,12.5304,-70.029,68775
Apia,-13.8415,-171.7386,61916
Andorra la Vella,42.5,1.5165,53998
Kingstown,13.1483,-61.2121,49485
Port-Vila,-17.7334,168.3166,44040
Banjul,13.4539,-16.5917,43094
Nuku‘alofa,-21.1385,-175.2206,42620
Castries,14.002,-61,37963
Monaco,43.7396,7.4069,36371
Vaduz,47.1337,9.5167,36281
Saint John’s,17.118,-61.85,35499
Saint George’s,12.0526,-61.7416,33734
Victoria,-4.6166,55.45,33576
San Marino,43.9172,12.4667,29579
Tarawa,1.3382,173.0176,28802
Majuro,7.103,171.38,25400
Roseau,15.301,-61.387,23336
Basseterre,17.302,-62.717,21887
Belmopan,17.252,-88.7671,15220
Pago Pago,-14.274,-170.7046,12576
Lobamba,-26.4667,31.2,9782
Funafuti,-8.5167,179.2166,4749
Palikir,6.9166,158.15,4645
Capitol Hill,15.2137,145.7546,2500
Hag,13.4745,144.7504,1051
