origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Afghanistan,AFG,Female,FEM,Bulgaria,BGR,3643,4086,4740,5321,3369,33.93911,67.709953,42.733883,25.48583
Afghanistan,AFG,Female,FEM,Tanzania,TZA,4803,5281,3066,3437,3868,33.93911,67.709953,-6.369028,34.888822
Albania,ALB,Female,FEM,Bosnia and Herzegovina,BIH,3431,3899,6098,4164,3858,41.153332,20.168331,43.915886,17.679076
Albania,ALB,Female,FEM,Cape Verde,CPV,3020,3366,3856,5513,6287,41.153332,20.168331,16.002082,-24.013197
Albania,ALB,Female,FEM,Czech Republic,CZE,4241,4665,5681,5141,7082,41.153332,20.168331,49.817492,15.472962
Albania,ALB,Female,FEM,Ethiopia,ETH,3020,3366,4439,4966,6287,41.153332,20.168331,9.145,40.489673
Albania,ALB,Female,FEM,Monaco,MCO,3020,3854,3332,4251,5278,41.153332,20.168331,43.750298,7.412841
Albania,ALB,Female,FEM,Poland,POL,4145,4184,4219,3948,3733,41.153332,20.168331,51.919438,19.145136
Albania,ALB,Female,FEM,Romania,ROU,4556,4667,4441,3949,4539,41.153332,20.168331,45.943161,24.96676
Algeria,DZA,Female,FEM,Bulgaria,BGR,4538,5281,5995,6761,4952,28.033886,1.659626,42.733883,25.48583
American Samoa,ASM,Female,FEM,Samoa,WSM,4675,3711,5036,4848,7502,-14.270972,-170.132217,-13.759029,-172.104629
Andorra,AND,Female,FEM,Hungary,HUN,4241,5281,5681,5969,6287,42.546245,1.601554,47.162494,19.503304
Angola,AGO,Female,FEM,Ethiopia,ETH,4179,4594,5509,6510,7509,-11.202692,17.873887,9.145,40.489673
Angola,AGO,Female,FEM,Mauritius,MUS,3903,4665,3150,3438,4089,-11.202692,17.873887,-20.348404,57.552152
Angola,AGO,Female,FEM,Monaco,MCO,3519,3854,3857,4840,5928,-11.202692,17.873887,43.750298,7.412841
Anguilla,AIA,Female,FEM,Aruba,ABW,4071,4372,4830,5513,6799,18.220554,-63.068615,12.52111,-69.968338
Anguilla,AIA,Female,FEM,Dominican Republic,DOM,4692,5337,5645,6151,6942,18.220554,-63.068615,18.735693,-70.162651
Anguilla,AIA,Female,FEM,Netherlands Antilles,ANT,3686,3914,4353,4108,3369,18.220554,-63.068615,12.226079,-69.060087
Antigua and Barbuda,ATG,Female,FEM,Cuba,CUB,4692,4844,4113,3220,3511,17.060816,-61.796428,21.521757,-77.781167
Antigua and Barbuda,ATG,Female,FEM,Indonesia,IDN,4856,4258,4695,5514,5928,17.060816,-61.796428,-0.789275,113.921327
Argentina,ARG,Female,FEM,Bulgaria,BGR,3903,4289,4914,5513,3511,-38.416097,-63.616672,42.733883,25.48583
Argentina,ARG,Female,FEM,Denmark,DNK,3480,3540,4185,4683,5516,-38.416097,-63.616672,56.26392,9.501785
Argentina,ARG,Female,FEM,El Salvador,SLV,4213,3899,4830,5743,6498,-38.416097,-63.616672,13.794185,-88.89653
Argentina,ARG,Female,FEM,France,FRA,3558,3939,4687,5136,7701,-38.416097,-63.616672,46.227638,2.213749
Armenia,ARM,Female,FEM,Azerbaijan,AZE,4050,4711,5308,5415,4744,40.069099,45.038189,40.143105,47.576927
Armenia,ARM,Female,FEM,Hungary,HUN,3450,4218,4502,4583,5075,40.069099,45.038189,47.162494,19.503304
Armenia,ARM,Female,FEM,Indonesia,IDN,3682,3045,3236,3873,4089,40.069099,45.038189,-0.789275,113.921327
Aruba,ABW,Female,FEM,France,FRA,3069,3366,3066,3437,6942,12.52111,-69.968338,46.227638,2.213749
Australia,AUS,Female,FEM,Croatia,HRV,3480,3899,6098,4517,5417,-25.274398,133.775136,45.1,15.2
Australia,AUS,Female,FEM,Denmark,DNK,4567,3444,4169,5356,7052,-25.274398,133.775136,56.26392,9.501785
Australia,AUS,Female,FEM,Fiji,FJI,4804,3092,5069,5624,6883,-25.274398,133.775136,-16.578193,179.414413
Australia,AUS,Female,FEM,Indonesia,IDN,4876,4258,4695,5514,6000,-25.274398,133.775136,-0.789275,113.921327
Australia,AUS,Female,FEM,Kiribati,KIR,4273,4258,3982,6320,6800,-25.274398,133.775136,-3.370417,-168.734039
