origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Afghanistan,AFG,Male,MAL,Fiji,FJI,4241,3854,3856,4250,5643,33.93911,67.709953,-16.578193,179.414413
Afghanistan,AFG,Male,MAL,Hungary,HUN,4337,4594,4830,4840,5278,33.93911,67.709953,47.162494,19.503304
Afghanistan,AFG,Male,MAL,Saudi Arabia,SAU,4952,4172,3085,6465,7385,33.93911,67.709953,23.885942,45.079162
Afghanistan,AFG,Male,MAL,Tunisia,TUN,3263,3854,3067,5321,5854,33.93911,67.709953,33.886917,9.537499
Albania,ALB,Male,MAL,Belgium,BEL,4728,3695,4644,3846,7052,41.153332,20.168331,50.503887,4.469936
Albania,ALB,Male,MAL,Cameroon,CMR,3020,3854,3856,4966,5643,41.153332,20.168331,7.369722,12.354722
Albania,ALB,Male,MAL,Cape Verde,CPV,3020,3854,4439,5513,6799,41.153332,20.168331,16.002082,-24.013197
Albania,ALB,Male,MAL,Ethiopia,ETH,4538,4665,5318,5969,7263,41.153332,20.168331,9.145,40.489673
Albania,ALB,Male,MAL,Poland,POL,3831,3855,3982,4108,4952,41.153332,20.168331,51.919438,19.145136
Albania,ALB,Male,MAL,Romania,ROU,4431,4460,4157,3564,4175,41.153332,20.168331,45.943161,24.96676
Algeria,DZA,Male,MAL,Bangladesh,BGD,4241,3173,4790,6353,7509,28.033886,1.659626,23.684994,90.356331
Algeria,DZA,Male,MAL,Ethiopia,ETH,3170,3298,3857,4316,5119,28.033886,1.659626,9.145,40.489673
Algeria,DZA,Male,MAL,France,FRA,3148,5179,5663,6084,5787,28.033886,1.659626,46.227638,2.213749
Algeria,DZA,Male,MAL,Sudan,SDN,3100,3230,4390,3251,4321,28.033886,1.659626,12.862807,30.217636
Andorra,AND,Male,MAL,Hungary,HUN,4241,4665,4914,4966,5643,42.546245,1.601554,47.162494,19.503304
