origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Afghanistan,AFG,Total,TOT,Fiji,FJI,4803,4665,4914,6394,7658,33.93911,67.709953,-16.578193,179.414413
Albania,ALB,Total,TOT,Bulgaria,BGR,4692,5282,6063,6792,5075,41.153332,20.168331,42.733883,25.48583
Albania,ALB,Total,TOT,Finland,FIN,4803,3367,5616,6394,5497,41.153332,20.168331,61.92411,25.748151
Albania,ALB,Total,TOT,Greece,GRC,4093,3402,4285,5011,5049,41.153332,20.168331,39.074208,21.824312
Albania,ALB,Total,TOT,Hungary,HUN,4849,4198,4247,4149,4496,41.153332,20.168331,47.162494,19.503304
Albania,ALB,Total,TOT,Monaco,MCO,4538,4998,5029,6353,7780,41.153332,20.168331,43.750298,7.412841
Albania,ALB,Total,TOT,Zimbabwe,ZWE,3519,4665,4914,5513,6287,41.153332,20.168331,-19.015438,29.154857
Algeria,DZA,Total,TOT,Ethiopia,ETH,4304,4594,5387,6238,7219,28.033886,1.659626,9.145,40.489673
Algeria,DZA,Total,TOT,Ghana,GHA,4241,4484,3413,4583,7478,28.033886,1.659626,7.946527,-1.023194
Algeria,DZA,Total,TOT,Indonesia,IDN,4427,3757,4384,5461,7469,28.033886,1.659626,-0.789275,113.921327
Algeria,DZA,Total,TOT,Israel,ISR,3367,4125,4712,4715,5404,28.033886,1.659626,31.046051,34.851612
Algeria,DZA,Total,TOT,Mali,MLI,3264,3582,4064,4439,6224,28.033886,1.659626,17.570692,-3.996166
Algeria,DZA,Total,TOT,Sudan,SDN,4441,4767,6112,5142,6499,28.033886,1.659626,12.862807,30.217636
Algeria,DZA,Total,TOT,Zimbabwe,ZWE,3920,4934,5458,5927,6484,28.033886,1.659626,-19.015438,29.154857
Angola,AGO,Total,TOT,Belgium,BEL,3831,4999,5645,5113,6703,-11.202692,17.873887,50.503887,4.469936
Angola,AGO,Total,TOT,Canada,CAN,4512,3617,5789,6822,3120,-11.202692,17.873887,56.130366,-106.346771
Angola,AGO,Total,TOT,Indonesia,IDN,4876,4258,4915,6105,6561,-11.202692,17.873887,-0.789275,113.921327
Angola,AGO,Total,TOT,Zimbabwe,ZWE,3376,4290,4790,5196,5569,-11.202692,17.873887,-19.015438,29.154857
Anguilla,AIA,Total,TOT,Netherlands Antilles,ANT,4939,5119,5469,5743,6021,18.220554,-63.068615,12.226079,-69.060087
Anguilla,AIA,Total,TOT,United Kingdom,GBR,3020,3854,4439,4250,6287,18.220554,-63.068615,55.378051,-3.435973
Antigua and Barbuda,ATG,Total,TOT,Dominican Republic,DOM,3957,4119,4233,4202,4143,17.060816,-61.796428,18.735693,-70.162651
Antigua and Barbuda,ATG,Total,TOT,Philippines,PHL,4591,5337,3384,5840,6169,17.060816,-61.796428,12.879721,121.774017
Argentina,ARG,Total,TOT,Denmark,DNK,4567,5191,5757,6771,7783,-38.416097,-63.616672,56.26392,9.501785
Argentina,ARG,Total,TOT,Togo,TGO,3431,4629,5387,6191,7179,-38.416097,-63.616672,8.619543,0.824782
Argentina,ARG,Total,TOT,Zimbabwe,ZWE,3643,4594,5125,5562,6057,-38.416097,-63.616672,-19.015438,29.154857
Armenia,ARM,Total,TOT,Albania,ALB,3020,3854,4439,5513,6287,40.069099,45.038189,41.153332,20.168331
Armenia,ARM,Total,TOT,Brazil,BRA,5008,4785,4353,3261,7921,40.069099,45.038189,-14.235004,-51.92528
Armenia,ARM,Total,TOT,Bulgaria,BGR,4686,5268,6054,6785,5061,40.069099,45.038189,42.733883,25.48583
Armenia,ARM,Total,TOT,Ethiopia,ETH,3560,3808,4491,5196,6113,40.069099,45.038189,9.145,40.489673
Armenia,ARM,Total,TOT,Lebanon,LBN,3903,5281,5995,4026,3870,40.069099,45.038189,33.854721,35.862285
Armenia,ARM,Total,TOT,Norway,NOR,4241,3854,3856,6394,4508,40.069099,45.038189,60.472024,8.468946
Armenia,ARM,Total,TOT,Romania,ROU,3903,3854,3856,3437,7263,40.069099,45.038189,45.943161,24.96676
Armenia,ARM,Total,TOT,South Africa,ZAF,4897,4999,5077,5840,3511,40.069099,45.038189,-30.559482,22.937506
Armenia,ARM,Total,TOT,Sudan,SDN,4286,4599,5927,3407,4483,40.069099,45.038189,12.862807,30.217636
Armenia,ARM,Total,TOT,United States,USA,4647,4663,4437,3649,8014,40.069099,45.038189,37.09024,-95.712891
Aruba,ABW,Total,TOT,Netherlands Antilles,ANT,4242,4372,4643,4186,4209,12.52111,-69.968338,12.226079,-69.060087
Australia,AUS,Total,TOT,Cambodia,KHM,3977,3967,5318,5660,4741,-25.274398,133.775136,12.565679,104.990963
Australia,AUS,Total,TOT,Ethiopia,ETH,3020,3366,3856,4250,4858,-25.274398,133.775136,9.145,40.489673
Australia,AUS,Total,TOT,Germany,DEU,4291,3016,5129,4737,7192,-25.274398,133.775136,51.165691,10.451526
Australia,AUS,Total,TOT,South Africa,ZAF,3053,3691,4542,3778,3916,-25.274398,133.775136,-30.559482,22.937506
