origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Afghanistan,AFG,Female,FEM,Bulgaria,BGR,3643,4086,4740,5321,3369,33.93911,67.709953,42.733883,25.48583
Afghanistan,AFG,Female,FEM,Tanzania,TZA,4803,5281,3066,3437,3868,33.93911,67.709953,-6.369028,34.888822
Afghanistan,AFG,Male,MAL,Fiji,FJI,4241,3854,3856,4250,5643,33.93911,67.709953,-16.578193,179.414413
Afghanistan,AFG,Male,MAL,Hungary,HUN,4337,4594,4830,4840,5278,33.93911,67.709953,47.162494,19.503304
Afghanistan,AFG,Male,MAL,Saudi Arabia,SAU,4952,4172,3085,6465,7385,33.93911,67.709953,23.885942,45.079162
Afghanistan,AFG,Male,MAL,Tunisia,TUN,3263,3854,3067,5321,5854,33.93911,67.709953,33.886917,9.537499
Afghanistan,AFG,Total,TOT,Fiji,FJI,4803,4665,4914,6394,7658,33.93911,67.709953,-16.578193,179.414413
Albania,ALB,Female,FEM,Bosnia and Herzegovina,BIH,3431,3899,6098,4164,3858,41.153332,20.168331,43.915886,17.679076
Albania,ALB,Female,FEM,Cape Verde,CPV,3020,3366,3856,5513,6287,41.153332,20.168331,16.002082,-24.013197
Albania,ALB,Female,FEM,Czech Republic,CZE,4241,4665,5681,5141,7082,41.153332,20.168331,49.817492,15.472962
Albania,ALB,Female,FEM,Ethiopia,ETH,3020,3366,4439,4966,6287,41.153332,20.168331,9.145,40.489673
Albania,ALB,Female,FEM,Monaco,MCO,3020,3854,3332,4251,5278,41.153332,20.168331,43.750298,7.412841
Albania,ALB,Female,FEM,Poland,POL,4145,4184,4219,3948,3733,41.153332,20.168331,51.919438,19.145136
Albania,ALB,Female,FEM,Romania,ROU,4556,4667,4441,3949,4539,41.153332,20.168331,45.943161,24.96676
Albania,ALB,Male,MAL,Belgium,BEL,4728,3695,4644,3846,7052,41.153332,20.168331,50.503887,4.469936
Albania,ALB,Male,MAL,Cameroon,CMR,3020,3854,3856,4966,5643,41.153332,20.168331,7.369722,12.354722
Albania,ALB,Male,MAL,Cape Verde,CPV,3020,3854,4439,5513,6799,41.153332,20.168331,16.002082,-24.013197
Albania,ALB,Male,MAL,Ethiopia,ETH,4538,4665,5318,5969,7263,41.153332,20.168331,9.145,40.489673
Albania,ALB,Male,MAL,Poland,POL,3831,3855,3982,4108,4952,41.153332,20.168331,51.919438,19.145136
Albania,ALB,Male,MAL,Romania,ROU,4431,4460,4157,3564,4175,41.153332,20.168331,45.943161,24.96676
Albania,ALB,Total,TOT,Bulgaria,BGR,4692,5282,6063,6792,5075,41.153332,20.168331,42.733883,25.48583
Albania,ALB,Total,TOT,Finland,FIN,4803,3367,5616,6394,5497,41.153332,20.168331,61.92411,25.748151
Albania,ALB,Total,TOT,Greece,GRC,4093,3402,4285,5011,5049,41.153332,20.168331,39.074208,21.824312
Albania,ALB,Total,TOT,Hungary,HUN,4849,4198,4247,4149,4496,41.153332,20.168331,47.162494,19.503304
Albania,ALB,Total,TOT,Monaco,MCO,4538,4998,5029,6353,7780,41.153332,20.168331,43.750298,7.412841
Albania,ALB,Total,TOT,Zimbabwe,ZWE,3519,4665,4914,5513,6287,41.153332,20.168331,-19.015438,29.154857
Algeria,DZA,Female,FEM,Bulgaria,BGR,4538,5281,5995,6761,4952,28.033886,1.659626,42.733883,25.48583
Algeria,DZA,Male,MAL,Bangladesh,BGD,4241,3173,4790,6353,7509,28.033886,1.659626,23.684994,90.356331
Algeria,DZA,Male,MAL,Ethiopia,ETH,3170,3298,3857,4316,5119,28.033886,1.659626,9.145,40.489673
Algeria,DZA,Male,MAL,France,FRA,3148,5179,5663,6084,5787,28.033886,1.659626,46.227638,2.213749
Algeria,DZA,Male,MAL,Sudan,SDN,3100,3230,4390,3251,4321,28.033886,1.659626,12.862807,30.217636
Algeria,DZA,Total,TOT,Ethiopia,ETH,4304,4594,5387,6238,7219,28.033886,1.659626,9.145,40.489673
Algeria,DZA,Total,TOT,Ghana,GHA,4241,4484,3413,4583,7478,28.033886,1.659626,7.946527,-1.023194
Algeria,DZA,Total,TOT,Indonesia,IDN,4427,3757,4384,5461,7469,28.033886,1.659626,-0.789275,113.921327
