destination_id,source_id,airline,airlineid,source_name,destination_name,id_codeshare,stops,equipment,name.x,city.x,country.x,IATA.x,ICAO.x,latitude.x,longitude.x,altitude.x,timeZone.x,DST.x,timezone_format.x,type.x,source.x,name.y,city.y,country.y,IATA.y,ICAO.y,latitude.y,longitude.y,altitude.y,timeZone.y,DST.y,timezone_format.y,type.y,source.y
10160,3364,JD,6557,PEK,ERL,,0,319,Beijing Capital International Airport,Beijing,China,PEK,ZBAA,40.0801010131836,116.584999084473,116,8,U,Asia/Shanghai,airport,OurAirports,Erenhot Saiwusu International Airport,Erenhot,China,ERL,ZBER,43.4225,112.096667,3301,8,N,\N,airport,OurAirports
10160,6345,GS,690,HET,ERL,,0,ERJ,Baita International Airport,Hohhot,China,HET,ZBHH,40.851398,111.823997,3556,8,U,Asia/Shanghai,airport,OurAirports,Erenhot Saiwusu International Airport,Erenhot,China,ERL,ZBER,43.4225,112.096667,3301,8,N,\N,airport,OurAirports
10940,6347,NS,16136,SJW,ZQZ,,0,E90,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,SJW,ZBSJ,38.2807006835938,114.696998596191,233,8,U,Asia/Shanghai,airport,OurAirports,Zhangjiakou Ningyuan Airport,Zhangjiakou,China,ZQZ,ZBZJ,40.7386016846,114.930000305,2347,8,N,\N,airport,OurAirports
10940,6347,MU,1758,SJW,ZQZ,,0,320,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,SJW,ZBSJ,38.2807006835938,114.696998596191,233,8,U,Asia/Shanghai,airport,OurAirports,Zhangjiakou Ningyuan Airport,Zhangjiakou,China,ZQZ,ZBZJ,40.7386016846,114.930000305,2347,8,N,\N,airport,OurAirports
10941,6345,JD,6557,HET,YIE,,0,319,Baita International Airport,Hohhot,China,HET,ZBHH,40.851398,111.823997,3556,8,U,Asia/Shanghai,airport,OurAirports,Arxan Yi'ershi Airport,Arxan,China,YIE,ZBES,47.3106,119.9117,2925,8,N,\N,airport,OurAirports
11473,6432,KN,10741,JGN,JIC,,0,737,Jiayuguan Airport,Jiayuguan,China,JGN,ZLJQ,39.856899,98.3414,5112,8,N,Asia/Shanghai,airport,OurAirports,Jinchuan Airport,Jinchuan,China,JIC,ZLJC,38.5422222222,102.348333333,4740,8,U,\N,airport,OurAirports
11473,3379,GS,690,XIY,JIC,,0,ERJ,Xi'an Xianyang International Airport,Xi'an,China,XIY,ZLXY,34.447102,108.751999,1572,8,U,Asia/Shanghai,airport,OurAirports,Jinchuan Airport,Jinchuan,China,JIC,ZLJC,38.5422222222,102.348333333,4740,8,U,\N,airport,OurAirports
11473,6341,MU,1758,NAY,JIC,Y,0,737,Beijing Nanyuan Airport,Beijing,China,NAY,ZBNY,39.7827987670898,116.388000488281,0,8,U,Asia/Shanghai,airport,OurAirports,Jinchuan Airport,Jinchuan,China,JIC,ZLJC,38.5422222222,102.348333333,4740,8,U,\N,airport,OurAirports
11473,6341,KN,10741,NAY,JIC,,0,737,Beijing Nanyuan Airport,Beijing,China,NAY,ZBNY,39.7827987670898,116.388000488281,0,8,U,Asia/Shanghai,airport,OurAirports,Jinchuan Airport,Jinchuan,China,JIC,ZLJC,38.5422222222,102.348333333,4740,8,U,\N,airport,OurAirports
11473,3378,GS,690,LHW,JIC,,0,ERJ,Lanzhou Zhongchuan Airport,Lanzhou,China,LHW,ZLLL,36.5152015686,103.620002747,6388,8,U,Asia/Shanghai,airport,OurAirports,Jinchuan Airport,Jinchuan,China,JIC,ZLJC,38.5422222222,102.348333333,4740,8,U,\N,airport,OurAirports
