origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Afghanistan,AFG,Female,FEM,Australia,AUS,16,31,350,1236,4449,33.93911,67.709953,-25.274398,133.775136
Afghanistan,AFG,Male,MAL,Australia,AUS,26,40,399,1401,6679,33.93911,67.709953,-25.274398,133.775136
Afghanistan,AFG,Total,TOT,Australia,AUS,42,70,749,2637,11128,33.93911,67.709953,-25.274398,133.775136
Albania,ALB,Female,FEM,Australia,AUS,230,276,221,294,636,41.153332,20.168331,-25.274398,133.775136
Albania,ALB,Male,MAL,Australia,AUS,1180,1249,1095,656,802,41.153332,20.168331,-25.274398,133.775136
Albania,ALB,Total,TOT,Australia,AUS,1410,1525,1315,951,1437,41.153332,20.168331,-25.274398,133.775136
Algeria,DZA,Female,FEM,Australia,AUS,56,165,452,262,364,28.033886,1.659626,-25.274398,133.775136
Algeria,DZA,Male,MAL,Australia,AUS,74,189,582,386,625,28.033886,1.659626,-25.274398,133.775136
Algeria,DZA,Total,TOT,Australia,AUS,130,353,1033,648,990,28.033886,1.659626,-25.274398,133.775136
American Samoa,ASM,Female,FEM,Australia,AUS,0,1,0,0,70,-14.270972,-170.132217,-25.274398,133.775136
American Samoa,ASM,Male,MAL,Australia,AUS,0,1,0,0,85,-14.270972,-170.132217,-25.274398,133.775136
American Samoa,ASM,Total,TOT,Australia,AUS,0,3,2,0,155,-14.270972,-170.132217,-25.274398,133.775136
Andorra,AND,Female,FEM,Australia,AUS,0,0,0,19,3,42.546245,1.601554,-25.274398,133.775136
Andorra,AND,Male,MAL,Australia,AUS,0,0,0,24,3,42.546245,1.601554,-25.274398,133.775136
Andorra,AND,Total,TOT,Australia,AUS,0,0,0,43,6,42.546245,1.601554,-25.274398,133.775136
Angola,AGO,Female,FEM,Australia,AUS,8,23,75,166,162,-11.202692,17.873887,-25.274398,133.775136
Angola,AGO,Male,MAL,Australia,AUS,10,26,70,156,185,-11.202692,17.873887,-25.274398,133.775136
Angola,AGO,Total,TOT,Australia,AUS,18,50,145,322,348,-11.202692,17.873887,-25.274398,133.775136
Anguilla,AIA,Female,FEM,Australia,AUS,0,0,0,1,0,18.220554,-63.068615,-25.274398,133.775136
Anguilla,AIA,Male,MAL,Australia,AUS,0,0,0,1,3,18.220554,-63.068615,-25.274398,133.775136
Anguilla,AIA,Total,TOT,Australia,AUS,0,0,0,2,3,18.220554,-63.068615,-25.274398,133.775136
Antigua and Barbuda,ATG,Female,FEM,Australia,AUS,0,2,1,8,16,17.060816,-61.796428,-25.274398,133.775136
Antigua and Barbuda,ATG,Male,MAL,Australia,AUS,0,2,0,9,6,17.060816,-61.796428,-25.274398,133.775136
Antigua and Barbuda,ATG,Total,TOT,Australia,AUS,0,4,2,17,22,17.060816,-61.796428,-25.274398,133.775136
Argentina,ARG,Female,FEM,Australia,AUS,67,216,4773,5145,5510,-38.416097,-63.616672,-25.274398,133.775136
Argentina,ARG,Male,MAL,Australia,AUS,77,218,4009,5154,5239,-38.416097,-63.616672,-25.274398,133.775136
Argentina,ARG,Total,TOT,Australia,AUS,144,434,8783,10299,10749,-38.416097,-63.616672,-25.274398,133.775136
