origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Afghanistan,AFG,Female,FEM,Algeria,DZA,1752,4998,4914,4966,4858,33.93911,67.709953,28.033886,1.659626
Afghanistan,AFG,Female,FEM,Bulgaria,BGR,3643,4086,4740,5321,3369,33.93911,67.709953,42.733883,25.48583
Afghanistan,AFG,Female,FEM,Fiji,FJI,1539,1705,1909,3437,4858,33.93911,67.709953,-16.578193,179.414413
Afghanistan,AFG,Female,FEM,Germany,DEU,4304,5311,2328,5545,7070,33.93911,67.709953,51.165691,10.451526
Afghanistan,AFG,Female,FEM,Hungary,HUN,2114,3757,4113,4108,4603,33.93911,67.709953,47.162494,19.503304
Afghanistan,AFG,Female,FEM,India,IND,4092,4776,2131,5830,5428,33.93911,67.709953,20.593684,78.96288
Afghanistan,AFG,Female,FEM,Ireland,IRL,1539,3366,4914,5513,4952,33.93911,67.709953,53.41291,-8.24389
Afghanistan,AFG,Female,FEM,Morocco,MAR,2430,5281,4439,4250,4858,33.93911,67.709953,31.791702,-7.09262
Afghanistan,AFG,Female,FEM,Oman,OMN,2038,3112,5769,2703,4414,33.93911,67.709953,21.512583,55.923255
Afghanistan,AFG,Female,FEM,Qatar,QAT,3519,4290,1830,2409,7355,33.93911,67.709953,25.354826,51.183884
Afghanistan,AFG,Female,FEM,Sudan,SDN,1539,1705,1909,4250,5643,33.93911,67.709953,12.862807,30.217636
Afghanistan,AFG,Female,FEM,Tanzania,TZA,4803,5281,3066,3437,3868,33.93911,67.709953,-6.369028,34.888822
Afghanistan,AFG,Female,FEM,Tunisia,TUN,2918,3366,3236,5660,6236,33.93911,67.709953,33.886917,9.537499
Afghanistan,AFG,Female,FEM,United Kingdom,GBR,4539,1944,2919,6394,3868,33.93911,67.709953,55.378051,-3.435973
Afghanistan,AFG,Male,MAL,Denmark,DNK,3519,4665,3067,2567,2966,33.93911,67.709953,56.26392,9.501785
Afghanistan,AFG,Male,MAL,Fiji,FJI,4241,3854,3856,4250,5643,33.93911,67.709953,-16.578193,179.414413
Afghanistan,AFG,Male,MAL,Hungary,HUN,4337,4594,4830,4840,5278,33.93911,67.709953,47.162494,19.503304
Afghanistan,AFG,Male,MAL,India,IND,2543,2863,3271,6009,5622,33.93911,67.709953,20.593684,78.96288
Afghanistan,AFG,Male,MAL,Ireland,IRL,2429,3366,5318,6761,5773,33.93911,67.709953,53.41291,-8.24389
Afghanistan,AFG,Male,MAL,Jordan,JOR,4538,1944,5743,2974,4089,33.93911,67.709953,30.585164,36.238414
Afghanistan,AFG,Male,MAL,Oman,OMN,3713,4999,1709,5197,7252,33.93911,67.709953,21.512583,55.923255
Afghanistan,AFG,Male,MAL,Philippines,PHL,3903,2692,2770,2566,4539,33.93911,67.709953,12.879721,121.774017
Afghanistan,AFG,Male,MAL,Saudi Arabia,SAU,4952,4172,3085,6465,7385,33.93911,67.709953,23.885942,45.079162
Afghanistan,AFG,Male,MAL,Sudan,SDN,2429,2692,3066,4250,5643,33.93911,67.709953,12.862807,30.217636
Afghanistan,AFG,Male,MAL,Thailand,THA,1539,2692,4219,6762,3934,33.93911,67.709953,15.870032,100.992541
Afghanistan,AFG,Male,MAL,Tunisia,TUN,3263,3854,3067,5321,5854,33.93911,67.709953,33.886917,9.537499
Afghanistan,AFG,Total,TOT,Czech Republic,CZE,1539,1705,3066,1965,2611,33.93911,67.709953,49.817492,15.472962
Afghanistan,AFG,Total,TOT,Fiji,FJI,4803,4665,4914,6394,7658,33.93911,67.709953,-16.578193,179.414413
Afghanistan,AFG,Total,TOT,Greece,GRC,4803,2355,4329,2522,4475,33.93911,67.709953,39.074208,21.824312
Afghanistan,AFG,Total,TOT,Poland,POL,2429,1705,4440,7013,1776,33.93911,67.709953,51.919438,19.145136
Afghanistan,AFG,Total,TOT,Tanzania,TZA,1857,1827,5318,5969,6799,33.93911,67.709953,-6.369028,34.888822
Afghanistan,AFG,Total,TOT,Thailand,THA,1539,3854,5973,1712,6268,33.93911,67.709953,15.870032,100.992541
Afghanistan,AFG,Total,TOT,Turkey,TUR,3975,2334,3616,6037,7893,33.93911,67.709953,38.963745,35.243322
Afghanistan,AFG,Total,TOT,United States,USA,2374,1789,4348,3453,5270,33.93911,67.709953,37.09024,-95.712891
Albania,ALB,Female,FEM,Australia,AUS,1858,2485,2194,3376,6476,41.153332,20.168331,-25.274398,133.775136
Albania,ALB,Female,FEM,Benin,BEN,1539,1705,3066,4250,6799,41.153332,20.168331,9.30769,2.315834
Albania,ALB,Female,FEM,Bosnia and Herzegovina,BIH,3431,3899,6098,4164,3858,41.153332,20.168331,43.915886,17.679076
Albania,ALB,Female,FEM,Bulgaria,BGR,3021,3475,4052,4395,2358,41.153332,20.168331,42.733883,25.48583
Albania,ALB,Female,FEM,Cameroon,CMR,2429,3366,3066,4966,4858,41.153332,20.168331,7.369722,12.354722
Albania,ALB,Female,FEM,Cape Verde,CPV,3020,3366,3856,5513,6287,41.153332,20.168331,16.002082,-24.013197
