origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Afghanistan,AFG,Total,TOT,Fiji,FJI,4803,4665,4914,6394,7658,33.93911,67.709953,-16.578193,179.414413
Albania,ALB,Total,TOT,Bulgaria,BGR,4692,5282,6063,6792,5075,41.153332,20.168331,42.733883,25.48583
Albania,ALB,Total,TOT,Hungary,HUN,4849,4198,4247,4149,4496,41.153332,20.168331,47.162494,19.503304
Albania,ALB,Total,TOT,Monaco,MCO,4538,4998,5029,6353,7780,41.153332,20.168331,43.750298,7.412841
Algeria,DZA,Total,TOT,Ethiopia,ETH,4304,4594,5387,6238,7219,28.033886,1.659626,9.145,40.489673
Algeria,DZA,Total,TOT,Sudan,SDN,4441,4767,6112,5142,6499,28.033886,1.659626,12.862807,30.217636
Angola,AGO,Total,TOT,Indonesia,IDN,4876,4258,4915,6105,6561,-11.202692,17.873887,-0.789275,113.921327
Anguilla,AIA,Total,TOT,Netherlands Antilles,ANT,4939,5119,5469,5743,6021,18.220554,-63.068615,12.226079,-69.060087
Argentina,ARG,Total,TOT,Denmark,DNK,4567,5191,5757,6771,7783,-38.416097,-63.616672,56.26392,9.501785
Armenia,ARM,Total,TOT,Bulgaria,BGR,4686,5268,6054,6785,5061,40.069099,45.038189,42.733883,25.48583
Aruba,ABW,Total,TOT,Netherlands Antilles,ANT,4242,4372,4643,4186,4209,12.52111,-69.968338,12.226079,-69.060087
Australia,AUS,Total,TOT,Tuvalu,TUV,4775,4445,4955,5418,4859,-25.274398,133.775136,-7.109535,177.64933
Azerbaijan,AZE,Total,TOT,Chad,TCD,4011,4629,5549,6588,7882,40.143105,47.576927,15.454166,18.732207
Barbados,BRB,Total,TOT,Dominican Republic,DOM,4011,4184,4270,4251,4193,13.193887,-59.543198,18.735693,-70.162651
Benin,BEN,Total,TOT,Cameroon,CMR,4006,4692,4756,5743,5928,9.30769,2.315834,7.369722,12.354722
Brazil,BRA,Total,TOT,Bulgaria,BGR,4241,4665,5318,5969,4298,-14.235004,-51.92528,42.733883,25.48583
Brazil,BRA,Total,TOT,Ethiopia,ETH,4241,4665,5318,6394,7263,-14.235004,-51.92528,9.145,40.489673
Burkina Faso,BFA,Total,TOT,Ethiopia,ETH,4039,4340,5077,5878,6843,12.238333,-1.561593,9.145,40.489673
Cameroon,CMR,Total,TOT,Ethiopia,ETH,4743,5114,5948,6852,7926,7.369722,12.354722,9.145,40.489673
Canada,CAN,Total,TOT,Cuba,CUB,5001,5253,4740,4316,6702,56.130366,-106.346771,21.521757,-77.781167
Canada,CAN,Total,TOT,United Kingdom,GBR,4103,4637,5062,5705,7094,56.130366,-106.346771,55.378051,-3.435973
Canada,CAN,Total,TOT,Uruguay,URY,4366,4340,4113,4630,4616,56.130366,-106.346771,-32.522779,-55.765835
Central African Republic,CAF,Total,TOT,Burundi,BDI,4803,4665,4914,4903,4769,6.611111,20.939444,-3.373056,29.918886
Chile,CHL,Total,TOT,Peru,PER,4426,4617,4846,4924,4890,-35.675147,-71.542969,-9.189967,-75.015152
China,CHN,Total,TOT,Cambodia,KHM,4590,4635,5996,6490,5697,35.86166,104.195397,12.565679,104.990963
Cook Islands,COK,Total,TOT,American Samoa,ASM,4538,4665,5681,5743,7584,-21.236736,-159.777671,-14.270972,-170.132217
Costa Rica,CRI,Total,TOT,El Salvador,SLV,4890,4247,5574,6741,6612,9.748917,-83.753428,13.794185,-88.89653
Costa Rica,CRI,Total,TOT,Guatemala,GTM,4761,5223,5510,6112,6906,9.748917,-83.753428,15.783471,-90.230759
Croatia,HRV,Total,TOT,Panama,PAN,4897,4514,4219,5257,5497,45.1,15.2,8.537981,-80.782127
Cuba,CUB,Total,TOT,Bulgaria,BGR,4011,4514,5235,5840,4015,21.521757,-77.781167,42.733883,25.48583
Cuba,CUB,Total,TOT,Ethiopia,ETH,4538,4998,5681,6394,7658,21.521757,-77.781167,9.145,40.489673
Cyprus,CYP,Total,TOT,Bulgaria,BGR,4488,5060,5808,6510,4741,35.126413,33.429859,42.733883,25.48583
Cyprus,CYP,Total,TOT,Monaco,MCO,4538,4665,4790,6013,7418,35.126413,33.429859,43.750298,7.412841
Czech Republic,CZE,Total,TOT,Germany,DEU,4354,4929,5505,4059,4882,49.817492,15.472962,51.165691,10.451526
Denmark,DNK,Total,TOT,United States,USA,4770,4762,4225,4371,4206,56.26392,9.501785,37.09024,-95.712891
El Salvador,SLV,Total,TOT,Costa Rica,CRI,4961,4849,4610,5682,7554,13.794185,-88.89653,9.748917,-83.753428
El Salvador,SLV,Total,TOT,Germany,DEU,4366,4807,4440,4396,5899,13.794185,-88.89653,51.165691,10.451526
Equatorial Guinea,GNQ,Total,TOT,Burundi,BDI,4538,4289,4439,4551,4402,1.650801,10.267895,-3.373056,29.918886
Estonia,EST,Total,TOT,Bulgaria,BGR,4241,4998,5681,6394,4603,58.595272,25.013607,42.733883,25.48583
Estonia,EST,Total,TOT,Canada,CAN,4605,4643,4800,5387,6571,58.595272,25.013607,56.130366,-106.346771
