origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,2000,origin.lat,origin.lon,dest.lat,dest.lon
Afghanistan,AFG,Total,TOT,Colombia,COL,7780,33.93911,67.709953,4.570868,-74.297333
Afghanistan,AFG,Total,TOT,Fiji,FJI,7658,33.93911,67.709953,-16.578193,179.414413
Afghanistan,AFG,Total,TOT,India,IND,7905,33.93911,67.709953,20.593684,78.96288
Afghanistan,AFG,Total,TOT,Ireland,IRL,7780,33.93911,67.709953,53.41291,-8.24389
Afghanistan,AFG,Total,TOT,Mexico,MEX,7658,33.93911,67.709953,23.634501,-102.552784
Afghanistan,AFG,Total,TOT,Monaco,MCO,7658,33.93911,67.709953,43.750298,7.412841
Afghanistan,AFG,Total,TOT,Morocco,MAR,7658,33.93911,67.709953,31.791702,-7.09262
Afghanistan,AFG,Total,TOT,Northern Mariana Islands,MNP,7658,33.93911,67.709953,17.33083,145.38469
Afghanistan,AFG,Total,TOT,Turkey,TUR,7893,33.93911,67.709953,38.963745,35.243322
Albania,ALB,Total,TOT,Denmark,DNK,7695,41.153332,20.168331,56.26392,9.501785
Albania,ALB,Total,TOT,Monaco,MCO,7780,41.153332,20.168331,43.750298,7.412841
Albania,ALB,Total,TOT,Rwanda,RWA,7738,41.153332,20.168331,-1.940278,29.873888
Algeria,DZA,Total,TOT,Australia,AUS,7979,28.033886,1.659626,-25.274398,133.775136
Algeria,DZA,Total,TOT,Bahrain,BHR,7658,28.033886,1.659626,25.930414,50.637772
Algeria,DZA,Total,TOT,Costa Rica,CRI,7658,28.033886,1.659626,9.748917,-83.753428
Algeria,DZA,Total,TOT,Denmark,DNK,7785,28.033886,1.659626,56.26392,9.501785
Algeria,DZA,Total,TOT,Martinique,MTQ,7998,28.033886,1.659626,14.641528,-61.024174
Algeria,DZA,Total,TOT,Mexico,MEX,7851,28.033886,1.659626,23.634501,-102.552784
Algeria,DZA,Total,TOT,Trinidad and Tobago,TTO,7658,28.033886,1.659626,10.691803,-61.222503
American Samoa,ASM,Total,TOT,Guadeloupe,GLP,7658,-14.270972,-170.132217,16.995971,-62.067641
Andorra,AND,Total,TOT,Chile,CHL,7658,42.546245,1.601554,-35.675147,-71.542969
Angola,AGO,Total,TOT,Andorra,AND,7658,-11.202692,17.873887,42.546245,1.601554
Antigua and Barbuda,ATG,Total,TOT,Cayman Islands,CYM,7917,17.060816,-61.796428,19.513469,-80.566956
Antigua and Barbuda,ATG,Total,TOT,Cuba,CUB,7882,17.060816,-61.796428,21.521757,-77.781167
Argentina,ARG,Total,TOT,Denmark,DNK,7783,-38.416097,-63.616672,56.26392,9.501785
Argentina,ARG,Total,TOT,Guinea,GIN,7658,-38.416097,-63.616672,9.945587,-9.696645
Argentina,ARG,Total,TOT,Haiti,HTI,7658,-38.416097,-63.616672,18.971187,-72.285215
